00.0,x,,,
01.9,,,,x
03.8,x,,,
05.6,,,,x
07.5,x,,,
08.3,,,,x
09.4,,x,,
10.1,,,x,
11.3,x,,,
12.0,,,,x
13.2,,x,,
13.9,,,x,
15.1,x,,,x
18.8,x,,,x
20.7,,x,x,
21.9,,x,x,
22.6,,x,x,
24.4,x,,,x
26.4,,x,x,
26.9,x,,,x
27.3,,x,x,
27.7,,x,x,
28.2,,x,x,
28.6,x,,,x
29.1,,x,x,
30.1,x,,,
30.5,,x,,
30.8,,,x,
31.0,,,,x
31.2,x,,,
31.7,,x,,
32.4,,,x,
32.6,,,,x
33.1,x,,,
33.3,,x,,
33.6,,,,x
33.8,,,x,
34.0,,,,x
34.3,x,,,
34.5,,x,,
34.8,,,x,
35.2,,x,,
35.5,,x,,
35.7,,,,x
36.2,,x,,
36.4,,x,,
36.6,,,,x
36.9,,x,,
37.1,,x,,
37.6,,,,x
38.0,,,x,
38.3,,x,,
38.5,x,,,
38.7,,,,x
39.2,,,x,
39.9,x,,,
40.1,,x,,
40.6,x,,,
40.8,,,,x
41.1,,,x,
41.3,,x,,
41.8,,,x,
42.0,,,x,
42.2,x,,,
42.7,,,x,
43.0,,,x,
43.2,x,,,
43.4,,,x,
43.6,,,x,
43.9,x,,,
44.1,x,,,
44.4,,x,,
44.5,,,x,
44.6,,,,x
45.1,,,x,
45.5,,,x,
45.8,,,x,
46.0,,x,,
46.5,,x,,
46.7,,x,,
47.4,,,x,
47.5,,,x,
47.6,,,x,
47.8,,,x,
47.9,,,x,
48.3,,x,,
48.6,,x,,
48.7,,x,,
48.8,,x,,
49.3,,,x,
49.5,,,x,
49.7,,,x,
50.2,,x,,
50.4,,x,,
50.7,,x,,
51.1,,,x,
51.3,,,x,
51.4,,,x,
51.5,,,x,
51.6,,,x,
52.1,x,,,
52.3,x,,,
52.6,x,,,
53.0,,,,x
53.3,,,,x
53.5,,,,x
54.0,x,,,
54.2,x,,,
54.4,x,,,
54.9,x,,,
55.0,x,,,
55.1,,,,x
55.3,,,,x
55.4,,,,x
55.6,,,,x
55.8,,,,
56.0,x,,,
56.3,x,,,
56.4,x,,,
56.5,,,,x
56.8,,,,x
56.9,,,,x
57.0,x,,,
57.2,x,,,
57.4,x,,,
57.5,,,,x
57.7,,,,x
57.8,,,,x
57.9,,x,,
58.2,,,x,
58.3,x,,,
58.4,,,,x
58.5,,x,,
58.6,,,x,
58.7,x,,,
58.8,,,,x
58.9,,x,,
59.0,,,x,
59.1,x,,,
60+01.0,,x,,
60+01.2,,,x,
60+01.4,,x,,
60+01.6,,,x,
60+01.8,x,,,
60+02.0,,,,x
60+02.2,,,,
60+02.4,x,,,
60+02.6,,,,x
60+02.8,,,x,
60+03.0,,x,,
60+03.2,x,,,
60+03.4,,x,,
60+03.6,,,x,
60+03.8,,x,,
60+04.0,,,x,
60+04.2,x,,,
60+04.6,,,,x
60+04.8,x,,,
60+05.0,,,,x
60+05.2,,x,,
60+05.4,,x,,
60+05.6,x,,,x
60+05.8,x,,,x
60+06.0,,x,x,
60+06.2,,x,x,
60+06.4,x,,,x
60+06.6,x,,,x
60+06.8,,x,x,
60+07.0,,x,x,
60+07.2,x,,,
60+07.4,x,,,
60+07.6,,x,,
60+07.8,,x,,
60+08.0,,,x,
60+08.2,,,x,
60+08.4,,,,x
60+08.6,,,,x
60+08.8,,,x,
60+09.0,,,x,
60+09.2,,x,,
60+09.4,,x,,
60+09.6,x,,,
60+09.8,x,,,
60+10.0,x,,x,
60+10.1,,x,,x
60+10.2,x,,x,
60+10.3,,x,,x
60+10.4,,x,,
60+10.5,x,,,
60+10.6,,x,,
60+10.7,,,x,
60+10.8,,x,,
60+10.9,,,x,
60+11.0,,,,x
60+11.1,,,x,
60+11.2,,x,,
60+11.3,x,,,x
60+11.4,x,,,x
60+11.5,,x,,
60+11.6,,,x,
60+11.7,,x,,
60+11.8,,,x,
60+11.9,,x,,
60+12.0,,,x,
60+12.1,x,,,
60+12.2,,,,x
60+12.3,x,,,
60+12.4,,,,x
60+12.5,,,x,
60+12.6,,x,,
60+12.7,,,x,
60+12.8,,x,,
60+12.9,,,,x
60+13.0,x,,,
60+13.1,,,,x
60+13.2,x,,,
60+13.3,,x,x,
60+13.4,x,,x,
60+13.5,,x,,x
60+13.6,,x,x,
60+13.7,x,,x,
60+13.8,,x,,x
60+13.9,,x,x,
60+14.0,x,,,x
60+14.1,,x,x,
60+14.2,,,x,
60+14.3,,x,,
60+14.4,,,x,
60+14.5,,x,,
60+14.6,,,x,
60+14.7,,x,,
60+14.8,,,x,
60+14.9,,x,,
60+15.0,,,x,
60+15.1,,x,,
60+15.2,,,x,
60+15.3,,,,x
60+15.4,x,,,
60+15.5,,,,x
60+15.6,x,,,
60+15.7,,,,x
60+15.8,x,,,
60+15.9,,,,x
60+16.0,x,,,
60+16.1,,,,x
60+16.2,x,,,
60+16.3,,,,x
60+16.4,x,,,
60+16.5,,x,x,
60+16.6,,x,x,
60+16.7,,x,x,
60+16.8,,x,x,
60+16.9,,x,x,
60+17.0,x,x,,
60+17.1,x,x,,
60+17.2,x,x,,
60+17.3,x,x,,
60+17.4,x,x,,
60+17.5,,,x,x
60+17.6,,,x,x
60+17.7,,,x,x
60+17.8,,,x,x
60+17.9,,,x,x
60+18.0,,,,x
60+18.1,,,x,
60+18.2,,x,,
60+18.3,x,,,
60+18.4,,x,,
60+18.5,,,x,
60+18.6,,,,x
60+18.7,,,x,
60+18.8,,x,,
60+18.9,x,,,
60+19.0,,x,,
60+19.1,,,x,
60+19.2,,,,x
60+19.3,,,x,
60+19.4,,x,,
60+19.5,x,,,
60+19.6,,x,,
60+19.7,,,x,
60+19.8,,,,x
60+19.9,x,,x,
60+20.0,,x,x,
60+20.1,,,x,
60+20.2,,x,,
60+20.3,,x,x,
60+20.4,,x,,x
60+20.5,,x,x,
60+20.6,,x,,
60+20.7,,,x,
60+20.8,,x,x,
60+20.9,x,,x,
60+21.0,x,,,x
60+21.1,x,,,x
60+21.2,,,x,
60+21.3,,x,,
60+21.4,,,x,
60+21.5,,x,,
60+21.6,,,x,
60+21.7,,x,,
60+21.8,x,,,
60+21.9,x,,,
60+22.0,,x,,
60+22.1,,x,,
60+22.2,,,x,
60+22.3,,,x,
60+22.4,,,,x
60+22.5,,,x,
60+22.6,,,x,
60+22.7,,x,,
60+22.8,,x,,
60+22.9,x,,,
60+23.0,x,x,,
60+23.1,,x,x,
60+23.2,,,x,x
60+23.3,,x,x,
60+23.4,x,x,,
60+23.5,,x,x,
60+23.6,,,x,x
60+23.7,,x,x,
60+23.8,x,x,,
60+23.9,,x,x,
60+24.0,,,x,
60+24.1,,,x,x
60+24.2,,,x,
60+24.3,,,x,x
60+24.4,,,x,
60+24.5,,x,,
60+24.6,x,x,,
60+24.7,,x,,
60+24.8,x,x,,
60+24.9,,x,,
60+25.0,,,,x
60+25.1,,,x,x
60+25.2,,,,x
60+25.3,,,x,x
60+25.4,,,,x
60+25.5,x,,,
60+25.6,x,x,,
60+25.7,x,,,
60+25.8,x,x,,
60+25.9,x,,,
60+26.0,,x,,
60+26.1,,x,x,
60+26.2,,x,,
60+26.3,,x,x,
60+26.4,,x,,
60+26.5,,,x,
60+26.6,,x,x,
60+26.7,,,x,
60+26.8,,x,x,
60+26.9,,,x,
60+27.0,x,,,
60+27.1,x,x,,
60+27.2,x,,,
60+27.3,x,x,,
60+27.4,x,,,
60+27.5,,,,x
60+27.6,,,x,x
60+27.7,,,,x
60+27.8,,,x,x
60+27.9,,,,x
60+28.0,x,x,x,x
60+28.6,x,,x,
60+28.9,x,,,
60+29.4,,x,,
60+29.7,,,x,
60+30.0,,,,x
60+30.7,,,x,
60+31.9,,x,,
60+32.6,x,,,
60+33.8,x,x,,
60+34.5,,,x,x
60+35.6,,x,,
60+36.7,x,,,
60+37.5,,x,,x
60+38.3,,,x,
60+38.5,,,,x
60+39.4,,,x,
60+39.8,x,,,x
60+40.1,,x,x,
60+40.3,,x,x,
60+40.7,x,,,x
60+41.1,x,,,x
60+41.3,,,x,
60+41.6,,x,,
60+41.7,,,x,
60+41.8,,x,,
60+41.9,,,,x
60+42.0,,x,,
60+42.1,,,,x
60+42.2,,x,,
60+42.3,,,,x
60+42.4,,x,,
60+42.5,,,,x
60+42.6,,x,,
60+42.7,,,x,
60+42.8,x,,,
60+42.9,,,x,
60+43.0,x,,,
60+43.1,x,x,x,x
60+45.0,,x,,
60+45.5,,,x,
60+46.0,,,,x
60+46.3,,x,x,
60+46.7,x,,,
60+47.0,,x,x,
60+47.4,,,,x
60+47.7,,x,x,
60+48.3,,x,x,
60+48.9,,x,,
60+49.3,,x,,
60+49.7,,,x,
60+50.1,,,x,
